,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1924,1,EAST VILLAGE,14 RENTALS - 4-10 UNIT                     ,2A,465,49, ,S4,155 SECOND AVENUE, ,10003,4,1,5,1508,4457,1900,2,S4, -  ,2016-12-22 00:00:00
1925,1,EAST VILLAGE,14 RENTALS - 4-10 UNIT                     ,2B,467,21, ,S5,224 EAST 12TH   STREET, ,10003,6,1,7,2485,8963,1910,2,S5, -  ,2016-12-31 00:00:00
1926,1,EAST VILLAGE,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,437,1002, ,R1,272 EAST 10TH   STREET,2,10009,1,0,1, -  , -  ,0,2,R1,381250,2017-08-04 00:00:00
1927,1,EAST VILLAGE,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,440,1301, ,R1,427 EAST 12TH   STREET,1A,10009,1,0,1, -  , -  ,2008,2,R1, -  ,2017-06-16 00:00:00
1928,1,EAST VILLAGE,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,442,1007, ,R1,45 EAST 1ST   STREET,RES 7,10003,1,0,1, -  , -  ,0,2,R1,636000,2017-05-03 00:00:00
1929,1,EAST VILLAGE,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,442,1009, ,R1,45 EAST 1ST STREET,RES 9,10003,1,0,1, -  , -  ,0,2,R1,1700000,2017-08-23 00:00:00
1930,1,EAST VILLAGE,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,443,1301, ,R1,64 EAST 1ST STREET,TH,10003,1,0,1, -  , -  ,1920,2,R1,3433525,2017-07-14 00:00:00
1931,1,EAST VILLAGE,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,443,1303, ,R1,64 EAST 1ST STREET,3,10003,1,0,1, -  , -  ,1920,2,R1,3390772,2017-06-30 00:00:00
1932,1,EAST VILLAGE,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,443,1304, ,R1,64 EAST 1ST STREET,4,10003,1,0,1, -  , -  ,1920,2,R1,3408546,2017-06-29 00:00:00
1933,1,EAST VILLAGE,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,443,1305, ,R1,64 EAST 1ST STREET,5,10003,1,0,1, -  , -  ,1920,2,R1,3360000,2017-07-25 00:00:00
1934,1,EAST VILLAGE,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,443,1306, ,R1,64 EAST 1ST STREET,PH,10003,1,0,1, -  , -  ,1920,2,R1,3968583,2017-07-12 00:00:00
1935,1,EAST VILLAGE,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,451,1003, ,R1,325 EAST 9TH STREET,3,10003,1,0,1, -  , -  ,0,2,R1, -  ,2017-06-08 00:00:00
1936,1,EAST VILLAGE,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,459,1203, ,R1,347 BOWERY,R-3,10003,1,0,1, -  , -  ,2015,2,R1,6155662,2017-06-28 00:00:00
1937,1,EAST VILLAGE,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,459,1207, ,R1,347 BOWERY,PH,10003,1,0,1, -  , -  ,2015,2,R1,16200000,2017-06-29 00:00:00
1938,1,EAST VILLAGE,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,460,1002, ,R1,220 EAST 5TH   STREET,2E,10003,1,0,1, -  , -  ,1920,2,R1,1865000,2017-04-06 00:00:00
1939,1,EAST VILLAGE,16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,2C,459,1201, ,R8,347 BOWERY,C-1,10003,0,1,1, -  , -  ,2015,2,R8,20302500,2017-06-15 00:00:00
1940,1,EAST VILLAGE,16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,2C,459,1202, ,R8,347 BOWERY,C-2,10003,0,1,1, -  , -  ,2015,2,R8, -  ,2017-06-15 00:00:00
"1941,1,EAST VILLAGE,17 CONDO COOPS                             ,2,446,1102, ,R9,""99 EAST 4TH STREET, 3M"", ,10003,0,0,0, -  , -  ,1928,2,R9,695000,2016-11-30 00:00:00"
"1942,1,EAST VILLAGE,17 CONDO COOPS                             ,2,446,1102, ,R9,""99 EAST 4TH STREET, 4K"", ,10003,0,0,0, -  , -  ,1928,2,R9,1250000,2017-06-29 00:00:00"
"1943,1,EAST VILLAGE,17 CONDO COOPS                             ,2,446,1102, ,R9,""99 EAST 4TH STREET, 4B"", ,10003,0,0,0, -  , -  ,1928,2,R9,706000,2017-06-23 00:00:00"
"1944,1,EAST VILLAGE,17 CONDO COOPS                             ,2,447,1002, ,R9,""85 1 AVENUE, 4B"", ,10003,0,0,0, -  , -  ,0,2,R9,620000,2016-11-17 00:00:00"
"1945,1,EAST VILLAGE,17 CONDO COOPS                             ,2,447,1002, ,R9,""85 FIRST AVENUE, B3"", ,10003,0,0,0, -  , -  ,0,2,R9,550000,2016-11-28 00:00:00"
"1946,1,EAST VILLAGE,17 CONDO COOPS                             ,2,447,1002, ,R9,""83 1 AVENUE, 2A"", ,10003,0,0,0, -  , -  ,0,2,R9,500000,2016-12-22 00:00:00"
"1947,1,EAST VILLAGE,17 CONDO COOPS                             ,2,447,1002, ,R9,""83-85 1ST AVENUE, 5A"", ,10003,0,0,0, -  , -  ,0,2,R9,650000,2017-05-18 00:00:00"
"1948,1,EAST VILLAGE,17 CONDO COOPS                             ,2C,461,1102, ,R9,""217 EAST 5TH STREET, 4"", ,10003,0,0,0, -  , -  ,1900,2,R9, -  ,2016-09-01 00:00:00"
"1949,1,EAST VILLAGE,17 CONDO COOPS                             ,2C,461,1102, ,R9,""217 EAST 5TH STREET, 2"", ,10003,0,0,0, -  , -  ,1900,2,R9,780000,2017-06-06 00:00:00"
"1950,1,EAST VILLAGE,17 CONDO COOPS                             ,2,468,1006, ,R9,""193 2 AVENUE, 5"", ,10003,0,0,0, -  , -  ,1900,2,R9,1200000,2017-01-27 00:00:00"
"1951,1,EAST VILLAGE,17 CONDO COOPS                             ,2,469,1102, ,R9,""111 THIRD AVENUE, 10H"", ,10003,0,0,0, -  , -  ,1900,2,R9, -  ,2016-09-30 00:00:00"
"1952,1,EAST VILLAGE,17 CONDO COOPS                             ,2,469,1102, ,R9,""111 THIRD AVE, 5A"", ,10003,0,0,0, -  , -  ,1900,2,R9,627000,2016-10-19 00:00:00"
"1953,1,EAST VILLAGE,17 CONDO COOPS                             ,2,469,1102, ,R9,""111 3 AVENUE, 12B"", ,10003,0,0,0, -  , -  ,1900,2,R9,735000,2017-02-10 00:00:00"
"1954,1,EAST VILLAGE,17 CONDO COOPS                             ,2,469,1102, ,R9,""111 THIRD AVENUE, 15C"", ,10003,0,0,0, -  , -  ,1900,2,R9,1715000,2017-03-10 00:00:00"
"1955,1,EAST VILLAGE,17 CONDO COOPS                             ,2,469,1102, ,R9,""111 THIRD AVENUE, 17K"", ,10003,0,0,0, -  , -  ,1900,2,R9,675000,2017-07-17 00:00:00"
"1956,1,EAST VILLAGE,17 CONDO COOPS                             ,2,469,1102, ,R9,""111 3 AVENUE, 9BC"", ,10003,0,0,0, -  , -  ,1900,2,R9,1615000,2017-07-17 00:00:00"
"1957,1,EAST VILLAGE,17 CONDO COOPS                             ,2,469,1102, ,R9,""111 THIRD AVENUE, 14F"", ,10003,0,0,0, -  , -  ,1900,2,R9, -  ,2017-07-18 00:00:00"
1958,1,EAST VILLAGE,22 STORE BUILDINGS                         ,4,449,3, ,K4,122 2 AVENUE, ,10003,2,2,4,3334,14131,1920,4,K4, -  ,2016-09-30 00:00:00
1959,1,EAST VILLAGE,22 STORE BUILDINGS                         ,4,449,3, ,K4,122 SECOND AVENUE, ,10003,2,2,4,3334,14131,1920,4,K4,9100000,2016-09-16 00:00:00
1960,1,EAST VILLAGE,22 STORE BUILDINGS                         ,4,457,32, ,K4,29 2 AVENUE, ,10003,2,1,3,2277,5794,1900,4,K4,4550000,2017-02-13 00:00:00
1961,1,EAST VILLAGE,29 COMMERCIAL GARAGES                      ,4,464,27, ,G9,234 EAST 9TH   STREET, ,10003,0,2,2,1192,2384,1900,4,G9, -  ,2017-04-13 00:00:00
1962,1,EAST VILLAGE,31 COMMERCIAL VACANT LAND                  ,4,463,33, ,V1,123 SECOND AVENUE, ,10003,0,0,0,2500, -  ,0,4,V1,6000000,2016-09-23 00:00:00
1963,1,EAST VILLAGE,31 COMMERCIAL VACANT LAND                  ,4,463,34, ,V1,121 2 AVENUE, ,10003,0,0,0,2500, -  ,0,4,V1,9150000,2017-05-02 00:00:00
1964,1,EAST VILLAGE,31 COMMERCIAL VACANT LAND                  ,4,463,35, ,V1,119 2 AVENUE, ,10003,0,0,0,2500, -  ,0,4,V1, -  ,2017-05-02 00:00:00
1965,1,EAST VILLAGE,32 HOSPITAL AND HEALTH FACILITIES          ,4,448,50, ,I9,311 EAST 6TH   STREET, ,10003,0,1,1,2044,5480,1920,4,I9, -  ,2017-05-02 00:00:00
1966,1,EAST VILLAGE,32 HOSPITAL AND HEALTH FACILITIES          ,4,448,51, ,I9,309 EAST 6TH   STREET, ,10003,0,1,1,2044,5480,1920,4,I9, -  ,2017-05-02 00:00:00
1967,1,EAST VILLAGE,44 CONDO PARKING                           ,4,459,1118, ,RG,52 EAST 4TH   STREET,PK1,10003,0,0,1, -  , -  ,2007,4,RG,250000,2017-07-06 00:00:00
1968,1,EAST VILLAGE,46 CONDO STORE BUILDINGS                   ,4,432,1101, ,RK,89 AVENUE A,COMM,10009,0,0,1, -  , -  ,0,4,RK, -  ,2016-09-29 00:00:00
1969,1,EAST VILLAGE,46 CONDO STORE BUILDINGS                   ,4,434,1001, ,RK,103 AVENUE A,REST,10009,0,0,1, -  , -  ,1920,4,RK, -  ,2016-11-10 00:00:00
1970,1,EAST VILLAGE,46 CONDO STORE BUILDINGS                   ,4,434,1002, ,RK,103 AVENUE A,REST,10009,0,0,1, -  , -  ,1920,4,RK, -  ,2016-11-10 00:00:00
1971,1,EAST VILLAGE,48 CONDO TERRACES/GARDENS/CABANAS          ,4,469,1589, ,RT,211 EAST 13TH   STREET,CAB 4,10003,0,0,1, -  , -  ,2012,4,RT, -  ,2017-06-14 00:00:00
1972,1,EAST VILLAGE,48 CONDO TERRACES/GARDENS/CABANAS          ,4,469,1590, ,RT,211 EAST 13TH   STREET,CAB 5,10003,0,0,1, -  , -  ,2012,4,RT, -  ,2016-09-01 00:00:00
1973,1,FASHION,07 RENTALS - WALKUP APARTMENTS             ,2,762,17, ,C4,331 WEST 38TH STREET, ,10018,16,2,18,2475,9690,1920,2,C4, -  ,2016-12-23 00:00:00
1974,1,FASHION,07 RENTALS - WALKUP APARTMENTS             ,2,778,28, ,C4,221 WEST 28TH   STREET, ,10001,22,2,24,2460,11538,1920,2,C4,11000000,2017-02-06 00:00:00
1975,1,FASHION,08 RENTALS - ELEVATOR APARTMENTS           ,2,830,45, ,D7,264 5 AVENUE, ,10001,14,6,20,2975,13875,1928,2,D7, -  ,2016-12-19 00:00:00
"1976,1,FASHION,09 COOPS - WALKUP APARTMENTS               ,2C,759,52, ,C6,""314 WEST 36TH STREET, 2C"", ,10018,0,0,0, -  , -  ,1901,2,C6,220000,2016-11-17 00:00:00"
